id,age,job,marital,education,housing,loan_alive
116758,59,technician,divorced,tertiary,yes,no
130495,31,blue-collar,married,secondary,yes,no
130496,46,technician,married,tertiary,no,no
110150,58,housemaid,married,secondary,no,no
121721,43,management,divorced,tertiary,no,no
103323,53,blue-collar,married,unknown,yes,no
103324,42,technician,married,secondary,yes,no
118122,58,retired,divorced,tertiary,yes,no
105107,32,technician,single,secondary,yes,yes
104223,51,management,single,tertiary,no,no
138845,22,services,single,secondary,yes,no
142668,36,admin.,divorced,secondary,no,no
108227,44,blue-collar,married,primary,yes,no
108228,45,self-employed,married,secondary,yes,no
133080,50,admin.,married,secondary,yes,no
133079,37,blue-collar,married,secondary,yes,no
129145,34,unemployed,divorced,tertiary,yes,no
111299,51,technician,married,tertiary,no,no
121113,33,technician,single,tertiary,no,no
141612,43,management,divorced,tertiary,no,no
102835,53,technician,married,secondary,yes,no
102836,58,retired,married,secondary,yes,no
143691,34,technician,single,tertiary,yes,no
121763,34,technician,single,tertiary,no,no
102799,40,blue-collar,married,secondary,yes,no
113935,34,management,married,secondary,no,yes
136622,33,blue-collar,single,secondary,yes,no
134792,35,technician,divorced,secondary,yes,yes
106060,30,services,single,tertiary,yes,no
113495,59,retired,married,unknown,no,yes
113496,34,technician,married,secondary,no,yes
130297,35,unemployed,married,primary,yes,no
130298,29,management,married,tertiary,yes,no
108961,29,management,married,tertiary,yes,no
108962,29,self-employed,married,tertiary,yes,yes
136416,31,blue-collar,married,primary,yes,yes
132464,28,student,single,tertiary,no,no
103657,50,admin.,divorced,secondary,yes,no
124888,37,management,married,secondary,no,no
140240,23,student,single,primary,no,no
138886,31,management,single,tertiary,yes,no
128738,27,unemployed,single,tertiary,no,no
141282,43,management,divorced,tertiary,yes,no
139037,30,management,single,secondary,yes,no
125464,53,management,married,tertiary,no,yes
103042,47,services,married,secondary,yes,no
112561,57,blue-collar,married,primary,no,yes
142900,39,technician,married,secondary,yes,yes
115566,41,admin.,single,secondary,yes,no
110968,55,services,married,secondary,no,no
122022,51,management,married,tertiary,no,no
128108,55,unemployed,married,secondary,yes,no
128107,51,technician,married,unknown,yes,no
126608,53,unemployed,married,secondary,no,no
105503,38,blue-collar,single,primary,yes,no
142938,56,admin.,married,unknown,no,no
143081,82,retired,married,secondary,no,no
134303,52,technician,married,tertiary,no,no
134304,35,management,married,tertiary,no,no
123117,34,technician,single,secondary,no,no
140331,59,admin.,married,secondary,no,no
122134,52,blue-collar,married,primary,no,no
122133,53,blue-collar,married,primary,no,no
105179,30,blue-collar,single,secondary,yes,no
124254,39,admin.,married,secondary,yes,no
124253,49,services,married,secondary,yes,no
121659,48,technician,divorced,tertiary,no,yes
119426,49,management,divorced,tertiary,no,yes
105549,46,blue-collar,married,secondary,yes,no
133624,42,blue-collar,married,secondary,yes,no
129634,32,management,single,tertiary,no,no
115121,42,management,married,tertiary,yes,no
115122,59,admin.,married,secondary,no,yes
110043,28,admin.,single,secondary,yes,no
130692,60,technician,married,secondary,no,no
136526,27,blue-collar,single,secondary,yes,no
122904,59,blue-collar,married,primary,no,no
122903,57,housemaid,married,primary,no,no
118505,45,management,married,primary,no,no
118506,28,management,married,tertiary,yes,no
108711,36,technician,single,secondary,yes,no
110746,58,management,divorced,primary,no,no
129048,54,services,married,secondary,yes,no
144526,35,technician,single,secondary,yes,no
129636,33,admin.,single,secondary,no,no
140085,31,services,married,secondary,no,no
140086,35,blue-collar,married,secondary,no,yes
128369,34,unemployed,single,primary,no,no
105194,39,unemployed,single,secondary,yes,no
138757,59,blue-collar,married,secondary,yes,no
138758,37,blue-collar,married,secondary,yes,no
110863,42,services,divorced,unknown,no,no
120027,34,management,single,tertiary,no,no
102293,58,entrepreneur,married,tertiary,yes,no
102294,50,blue-collar,married,primary,yes,no
126317,51,blue-collar,married,primary,no,no
102739,42,management,married,secondary,yes,no
102740,58,admin.,married,secondary,yes,no
112286,49,housemaid,married,primary,no,yes
102230,31,blue-collar,divorced,secondary,yes,no
127234,47,technician,married,secondary,no,yes
127233,45,admin.,married,secondary,no,no
101249,44,blue-collar,married,primary,yes,no
101250,41,management,married,tertiary,no,no
101383,28,management,single,tertiary,yes,no
137455,42,services,single,secondary,yes,no
103638,52,technician,divorced,secondary,yes,no
111835,47,services,married,secondary,no,no
123198,49,blue-collar,married,secondary,no,no
123197,52,management,married,tertiary,no,no
106501,36,management,single,tertiary,yes,no
141677,70,retired,married,tertiary,no,no
141678,44,blue-collar,married,secondary,yes,no
138013,34,admin.,married,secondary,yes,no
138014,55,blue-collar,married,primary,yes,no
127426,57,management,married,tertiary,yes,no
127425,34,unemployed,married,secondary,yes,no
121779,55,technician,divorced,tertiary,no,no
136273,52,services,divorced,secondary,yes,yes
130452,30,unemployed,single,secondary,no,yes
126964,52,management,single,tertiary,no,no
136840,58,blue-collar,married,primary,yes,no
132796,52,blue-collar,married,primary,yes,no
134458,29,housemaid,single,secondary,yes,no
119036,40,technician,single,tertiary,no,no
113135,30,student,single,unknown,no,yes
108681,53,services,divorced,secondary,yes,no
144556,58,admin.,married,secondary,no,no
113011,44,blue-collar,single,primary,no,no
139440,43,admin.,single,secondary,yes,no
110832,59,housemaid,divorced,secondary,no,no
117338,34,technician,married,secondary,yes,no
117337,32,management,married,tertiary,yes,no
131055,48,management,single,tertiary,no,no
131735,39,management,married,tertiary,yes,no
105934,31,technician,married,tertiary,yes,yes
105105,27,admin.,single,secondary,yes,yes
101861,37,technician,married,tertiary,yes,no
101862,38,blue-collar,married,secondary,yes,no
143104,80,housemaid,married,primary,no,no
103168,41,entrepreneur,married,secondary,yes,no
103167,55,management,married,tertiary,yes,no
141789,36,admin.,divorced,secondary,no,no
126232,44,admin.,single,secondary,yes,no
122375,38,technician,single,secondary,no,no
108939,27,blue-collar,single,primary,yes,no
125861,39,blue-collar,married,secondary,yes,yes
118544,35,blue-collar,divorced,primary,yes,no
135972,50,services,divorced,secondary,no,no
142488,35,management,married,tertiary,no,no
124330,58,management,divorced,tertiary,no,no
124329,50,management,married,tertiary,yes,yes
107193,32,services,single,secondary,yes,no
140499,66,management,married,tertiary,no,no
122864,56,services,married,secondary,no,yes
101082,54,technician,single,secondary,yes,no
122863,45,blue-collar,married,primary,no,no
122445,35,technician,married,secondary,no,no
107888,40,management,married,primary,yes,no
142236,29,management,single,tertiary,no,no
119111,53,technician,married,secondary,no,no
119112,50,admin.,married,secondary,no,no
111599,38,blue-collar,married,secondary,no,no
107100,45,management,single,tertiary,yes,no
107013,51,blue-collar,married,primary,no,no
106322,33,entrepreneur,married,secondary,yes,yes
140717,49,admin.,married,secondary,no,no
138429,28,services,single,secondary,yes,no
104593,38,blue-collar,married,primary,yes,no
104594,40,services,married,primary,yes,no
130640,36,housemaid,married,primary,no,yes
127134,40,management,married,tertiary,yes,yes
144784,41,admin.,married,secondary,no,no
132477,37,blue-collar,married,secondary,yes,no
132478,37,management,married,tertiary,yes,no
102952,57,retired,married,tertiary,yes,yes
142508,62,retired,married,tertiary,no,no
142507,47,technician,married,secondary,yes,no
138851,33,management,single,tertiary,yes,no
135064,30,services,single,secondary,yes,no
111959,52,admin.,married,primary,no,no
132152,33,management,married,tertiary,yes,no
132151,28,management,married,secondary,yes,no
143485,24,management,single,tertiary,yes,no
112525,54,services,married,secondary,no,yes
112526,26,services,married,secondary,no,no
107654,29,management,married,tertiary,yes,no
114339,32,technician,single,tertiary,yes,no
130542,26,management,single,tertiary,no,no
139748,32,blue-collar,single,secondary,no,yes
143175,59,management,married,tertiary,no,no
143176,37,management,married,tertiary,no,no
134210,41,blue-collar,married,secondary,no,no
105380,38,blue-collar,married,secondary,yes,no
141890,30,admin.,single,tertiary,no,no
137176,29,management,single,tertiary,yes,no
126489,37,technician,single,secondary,no,yes
121004,37,management,single,tertiary,no,no
103648,51,self-employed,single,secondary,yes,no
133068,44,management,divorced,tertiary,yes,no
130983,41,unemployed,married,secondary,no,no
130984,44,self-employed,married,secondary,yes,no
136844,57,management,married,primary,yes,no
136843,48,blue-collar,married,primary,yes,no
132842,33,self-employed,single,tertiary,yes,no
121242,45,blue-collar,married,primary,no,no
140672,29,management,single,tertiary,no,no
137233,32,management,single,tertiary,yes,no
128967,40,management,married,tertiary,no,no
125688,49,admin.,single,secondary,no,no
130341,36,blue-collar,single,secondary,yes,no
140952,32,technician,single,tertiary,no,yes
136887,52,retired,single,secondary,no,no
129744,44,self-employed,married,primary,yes,no
138349,34,blue-collar,single,primary,yes,no
115547,35,technician,married,secondary,yes,no
115548,40,entrepreneur,married,secondary,yes,no
127087,46,unemployed,single,tertiary,no,no
128493,31,entrepreneur,single,tertiary,no,no
128260,35,services,married,secondary,yes,no
128259,53,management,married,tertiary,yes,no
129162,36,unemployed,divorced,secondary,no,yes
129161,38,technician,married,secondary,yes,no
105695,46,blue-collar,married,secondary,yes,no
129199,28,management,single,tertiary,yes,no
107949,36,management,married,secondary,yes,no
139767,38,housemaid,divorced,secondary,no,no
100601,38,blue-collar,married,secondary,yes,no
100602,37,blue-collar,married,secondary,yes,no
128970,29,technician,single,tertiary,no,no
141586,26,management,single,tertiary,no,no
142490,57,technician,married,primary,no,yes
114247,45,services,married,primary,no,no
126998,59,management,married,tertiary,no,no
130018,41,blue-collar,married,secondary,yes,no
105829,31,services,divorced,secondary,yes,no
128111,29,unemployed,single,unknown,no,no
130596,51,management,married,tertiary,no,no
126193,32,technician,married,tertiary,yes,yes
122284,47,technician,married,secondary,no,no
122283,30,management,married,tertiary,no,no
124130,31,management,married,tertiary,no,no
124129,26,management,single,tertiary,yes,no
105484,45,admin.,married,secondary,yes,no
105483,36,services,married,secondary,yes,no
124005,37,technician,married,secondary,yes,no
130764,33,blue-collar,single,tertiary,yes,no
128929,39,entrepreneur,single,unknown,yes,yes
107589,50,technician,married,secondary,yes,no
107590,42,management,married,secondary,yes,no
142505,72,retired,married,secondary,no,no
142506,46,management,married,tertiary,yes,no
130502,25,student,single,secondary,no,no
125077,38,technician,married,tertiary,no,no
137781,34,management,married,tertiary,yes,no
137782,29,admin.,married,tertiary,no,no
137949,29,technician,single,secondary,yes,yes
123043,48,management,married,tertiary,yes,no
123044,31,admin.,married,secondary,no,yes
104017,23,blue-collar,single,secondary,yes,no
129136,31,admin.,single,tertiary,no,yes
144258,54,management,divorced,tertiary,no,no
120035,53,management,married,tertiary,no,no
131938,34,admin.,married,tertiary,yes,no
136868,32,technician,single,secondary,yes,no
107486,37,management,married,tertiary,yes,no
115642,33,management,married,tertiary,yes,no
133594,46,admin.,single,secondary,yes,no
113846,56,services,married,primary,no,yes
143453,29,admin.,single,secondary,no,no
135302,25,student,single,secondary,yes,no
126254,35,unemployed,married,primary,yes,no
139340,35,technician,single,secondary,yes,no
105710,59,technician,divorced,secondary,yes,no
144786,43,blue-collar,married,secondary,yes,no
116834,48,services,married,secondary,yes,no
101653,42,blue-collar,married,secondary,yes,no
136216,38,management,single,tertiary,yes,no
140207,33,self-employed,single,tertiary,yes,no
138869,56,management,divorced,tertiary,yes,no
103117,31,admin.,married,secondary,yes,no
128431,38,management,single,tertiary,yes,no
138823,32,technician,single,secondary,yes,yes
123274,56,blue-collar,married,secondary,no,yes
100257,59,entrepreneur,divorced,secondary,yes,no
118939,47,blue-collar,married,secondary,no,yes
123700,30,technician,married,tertiary,no,no
110731,58,unemployed,single,primary,no,no
105312,22,blue-collar,single,secondary,yes,no
106761,53,services,divorced,secondary,yes,no
104211,43,management,married,secondary,yes,yes
104212,44,retired,married,secondary,yes,no
105820,25,admin.,single,secondary,no,no
143689,22,student,single,secondary,no,no
141170,44,admin.,married,secondary,no,no
134213,60,admin.,divorced,secondary,no,no
135452,36,management,single,tertiary,yes,no
130811,52,entrepreneur,divorced,tertiary,no,yes
143261,28,management,single,tertiary,no,no
143804,46,housemaid,married,secondary,no,no
119116,32,technician,married,secondary,no,no
144367,54,services,married,secondary,yes,no
134871,32,technician,divorced,secondary,yes,no
124325,46,technician,single,tertiary,no,no
124326,49,admin.,married,secondary,yes,yes
104579,34,blue-collar,single,primary,yes,no
137179,39,management,married,tertiary,yes,no
122481,35,management,single,tertiary,yes,no
102510,41,blue-collar,married,secondary,yes,no
102509,32,services,married,secondary,yes,no
131745,30,technician,single,secondary,yes,no
109893,52,retired,married,secondary,no,yes
103877,50,admin.,divorced,secondary,yes,no
123811,35,technician,divorced,secondary,yes,yes
101793,40,blue-collar,married,primary,yes,no
101794,35,blue-collar,married,primary,yes,no
133527,48,admin.,single,secondary,yes,no
109477,41,blue-collar,married,primary,yes,no
109478,59,retired,married,primary,no,yes
117254,48,self-employed,married,tertiary,no,yes
117253,34,admin.,married,secondary,yes,no
131850,29,management,single,tertiary,no,no
133880,52,management,married,tertiary,no,no
133879,52,unemployed,married,secondary,no,no
107434,34,technician,divorced,secondary,yes,no
100124,43,services,married,secondary,yes,yes
100123,34,admin.,married,unknown,yes,no
132131,53,self-employed,divorced,secondary,yes,yes
138282,27,technician,married,secondary,yes,yes
138281,55,technician,married,tertiary,yes,no
123442,50,admin.,married,secondary,no,no
101120,39,technician,single,unknown,yes,no
132882,30,entrepreneur,married,primary,yes,no
128711,36,technician,single,secondary,no,no
137075,50,management,divorced,tertiary,yes,yes
126259,31,unemployed,married,tertiary,no,no
133771,35,management,married,tertiary,no,no
126260,43,admin.,married,unknown,yes,no
144021,60,retired,married,secondary,no,no
100933,40,blue-collar,married,secondary,yes,yes
100934,39,blue-collar,married,secondary,yes,no
139933,58,technician,married,tertiary,no,no
139934,52,management,married,tertiary,no,no
